Data;Ora;Luogo;Tipo Incidente;Feriti;Latitudine;Longitudine
05/02/2020;09:00;VIA CRESCENZIO ANTONIO intersezione con VIA DEI CANTIERI;C;0;38,136729;13,361763
05/02/2020;09:45;VIA LA MALFA UGO nr. 80;C;0;38,161824;13,31464
05/02/2020;10:15;VIA EUGENIO L'EMIRO altezza del civico 66;C;0;38,1142;13,33779
05/02/2020;10:20;VIA DI MARZO GIOACCHINO intersezione VIA LEOPARDI GIACOMO;F;1;38,133667;13,346232
05/02/2020;10:30;VIA PETRARCA FRANCESCO intersezione VIA DI MARZO GIOACCHINO;F;1;38,134181;13,347463
05/02/2020;15:00;VIA DELL'ORSA MINORE intersezione con VIA S.MARIA DI GESU';C;0;38,096392;13,3706
06/02/2020;03:50;VIA GIORDANO UMBERTO intersezione con VIA NOTARBARTOLO EMANUELE;C;0;38,13147;13,340556
06/02/2020;09:40;VIA VILLAGRAZIA altezza del civico 230;F;1;38,07932;13,334258
06/02/2020;11:00;VIA S.ISIDORO intersezione VIA ALLA FALCONARA;F;1;38,119043;13,300014
06/02/2020;12:00;VIALE ERCOLE altezza 1;F;1;38,152461;13,347136
06/02/2020;12:00;VIA DANTE intersezione VIA CIVILETTI BENEDETTO;F;1;38,123915;13,351538
06/02/2020;16:30;VIA IMPERATORE FEDERICO altezza del civico 114/A;F;1;38,1466;13,35141
06/02/2020;17:30;VIA DEI LEONI intersezione VIA VALGUARNERA SIMONE;F;1;38,14712;13,34264
